#,units,Angstroms
wavelength,amplitude
# from https://noirlab.edu/science/sites/default/files/media/archives/documents/scidoc2213.txt
3033.5083,-99
3093.4019,-99
3161.3726,-99
3169.6685,-99
3181.0376,-99
3204.3210,-99
3243.6887,-99
3249.8003,-99
3281.7016,-99
3307.2283,-99
3350.9243,-99
3376.4359,-99
3388.5309,-99
3454.0952,-99
3464.1272,-99
3476.7474,-99
3478.2324,-99
3480.5055,-99
3490.8733,-99
3491.2439,-99
3491.5360,-99
3509.7785,-99
3514.3877,-99
3519.9936,-99
3521.2601,-99
3535.3196,-99
3543.1475,-99
3545.5956,-99
3545.8450,-99
3548.5144,-99
3556.9041,-99
3559.5081,-99
3561.0304,-99
3562.1930,-99
3565.0298,-99
3567.6564,-99
3576.6156,-99
3581.6084,-99
3582.3546,-99
3588.4407,-99
3601.5093,-99
3605.8792,-99
3606.5218,-99
3622.1375,-99
3634.8124,-99
3637.0310,-99
3639.8329,-99
3650.8896,-99
3655.2782,-99
3656.0498,-99
3660.4370,-99
3669.6024,-99
3671.0048,-99
3673.2645,-99
3678.2701,-99
3680.0609,-99
3717.1713,-99
3718.2065,-99
3720.4265,-99
3724.5165,-99
3729.3087,-99
3737.8890,-99
3746.9133,-99
3753.5177,-99
3763.5053,-99
3765.2700,-99
3766.1186,-99
3770.3687,-99
3770.5200,-99
3780.8398,-99
3786.3824,-99
3799.3820,-99
3808.5748,-99
3809.4561,-99
3825.6729,-99
3826.8072,-99
3834.6787,-99
3841.5187,-99
3844.7311,-99
3845.4055,-99
3850.5813,-99
3868.5284,-99
3872.1371,-99
3880.3332,-99
3891.4017,-99
3891.9792,-99
3894.6600,-99
3911.5760,-99
3914.7675,-99
3925.7188,-99
3926.0456,-99
3928.6233,-99
3932.5466,-99
3947.5046,-99
3948.9789,-99
3974.4766,-99
3974.7590,-99
3979.3559,-99
3992.0535,-99
3994.7918,-99
4005.3628,-99
4013.8566,-99
4035.4600,-99
4038.8043,-99
4042.8937,-99
4044.4179,-99
4045.9654,-99
4047.4815,-99
4052.9208,-99
4054.5258,-99
4070.7835,-99
4072.0047,-99
4072.3849,-99
4076.6284,-99
4076.9432,-99
