position,TYPE,VBLK,SLIT_ID,fiberid,SLIT_orig
14.72703736,sky,1,1,44,1
22.78607757,object,1,2,131,2
30.75940161,object,1,3,132,3
38.74844715,object,1,4,115,4
46.81480697,object,1,5,116,5
54.67755143,object,1,6,133,6
62.68113374,object,1,7,150,7
70.70738544,sky,1,8,43,8
78.69480082,object,1,9,149,9
86.93954422,object,1,10,130,10
94.65095154,object,1,11,148,11
102.849679,object,1,12,166,12
110.9497711,object,1,13,167,13
118.8504356,object,1,14,168,14
126.9620658,sky,1,15,42,15
135.0418647,object,1,16,151,16
143.0048003,object,1,17,134,17
151.0987574,object,1,18,117,18
159.085161,object,1,19,135,19
167.0329857,object,1,20,152,20
175.1972769,object,1,21,169,21
183.1381531,object,1,22,186,22
191.1632152,sky,1,23,24,23
199.2249706,object,1,24,185,24
207.3806053,object,1,25,184,25
215.5015199,object,1,26,183,26
223.4219252,object,1,27,165,27
231.6203105,object,1,28,147,28
239.7561819,object,1,29,129,29
262.4931694,sky,2,30,13,31
270.3557008,object,2,31,118,32
278.2255909,object,2,32,119,33
286.1650158,object,2,33,136,34
293.9850875,object,2,34,153,35
301.8862943,object,2,35,170,36
309.7812736,object,2,36,187,37
317.6865812,sky,2,37,31,38
325.4466259,object,2,38,204,39
333.3095672,object,2,39,203,40
341.2630037,object,2,40,202,41
349.3080512,object,2,41,201,42
357.1346447,object,2,42,200,43
364.968447,object,2,43,182,44
372.6756041,object,2,44,164,45
380.6813633,sky,2,45,14,46
388.7456643,object,2,46,146,47
396.635951,object,2,47,128,48
404.5766551,object,2,48,145,49
412.4144559,object,2,49,163,50
420.4622497,object,2,50,181,51
428.2627631,object,2,51,199,52
436.1963561,object,2,52,219,53
444.0496266,sky,2,53,49,54
452.1079716,object,2,54,220,55
459.9977862,object,2,55,205,56
467.8913964,object,2,56,188,57
475.8700419,object,2,57,171,58
483.756828,object,2,58,154,59
491.7082182,object,2,59,137,60
499.5871301,sky,2,60,32,61
513.2732197,sky,3,61,39,62
521.0197586,object,3,62,8,63
528.5691736,object,3,63,7,64
536.215072,object,3,64,6,65
543.7669805,object,3,65,23,66
551.5356239,object,3,66,40,67
559.1684483,object,3,67,57,68
566.7858618,sky,3,68,4,69
574.5303171,object,3,69,74,70
582.1900409,object,3,70,91,71
589.7388231,object,3,71,109,72
597.5426665,object,3,72,127,73
605.2599971,object,3,73,144,74
612.9459465,object,3,74,162,75
620.4979793,object,3,75,180,76
628.2216961,sky,3,76,21,77
635.966408,object,3,77,198,78
643.4636764,object,3,78,216,79
651.3170708,object,3,79,217,80
659.0328709,object,3,80,218,81
666.4888698,object,3,81,197,82
674.2651572,object,3,82,179,83
681.9431911,object,3,83,161,84
689.6515562,sky,3,84,38,85
697.4897019,object,3,85,143,86
704.9951105,object,3,86,126,87
712.7017821,object,3,87,108,88
720.3266381,object,3,88,73,89
727.9623106,object,3,89,56,90
735.747084,object,3,90,39,91
743.3651676,object,3,91,22,92
751.0098383,sky,3,92,3,93
766.4742199,sky,4,93,34,94
774.0494351,object,4,94,14,95
781.8764839,object,4,95,15,96
789.4891442,object,4,96,33,97
797.2583669,object,4,97,51,98
804.9222904,object,4,98,69,99
812.7197815,object,4,99,86,100
820.4062491,object,4,100,104,101
828.1647474,object,4,101,122,102
835.9101391,object,4,102,139,103
843.4367011,sky,4,103,52,104
851.2800378,object,4,104,157,105
858.8092469,object,4,105,174,106
866.6753753,object,4,106,191,107
874.4088456,object,4,107,208,108
881.9975109,object,4,108,224,109
889.6827944,object,4,109,225,110
897.3353688,object,4,110,226,111
905.1781423,object,4,111,209,112
912.8453709,object,4,112,192,113
920.5465953,sky,4,113,35,114
928.284688,object,4,114,175,115
935.9758785,object,4,115,158,116
943.5970251,object,4,116,140,117
951.3250715,object,4,117,123,118
959.0687037,object,4,118,105,119
966.7173787,object,4,119,88,120
974.4444311,object,4,120,70,121
982.1172733,object,4,121,52,122
989.8679424,object,4,122,34,123
997.5445077,object,4,123,16,124
1005.238335,sky,4,124,53,125
1021.346788,sky,5,125,36,126
1029.040553,object,5,126,213,127
1036.638367,object,5,127,195,128
1044.376888,object,5,128,177,129
1052.044848,object,5,129,159,130
1059.953616,object,5,130,141,131
1067.497142,object,5,131,124,132
1075.169144,object,5,132,106,133
1082.954143,object,5,133,89,134
1090.561223,object,5,134,71,135
1098.217818,object,5,135,54,136
1105.982592,sky,5,136,19,137
1113.775126,object,5,137,37,138
1121.420698,object,5,138,20,139
1129.094355,object,5,139,3,140
1136.894021,object,5,140,4,141
1144.514531,object,5,141,5,142
1151.486805,object,5,142,21,143
1159.982918,object,5,143,38,144
1167.527235,object,5,144,55,145
1175.310118,object,5,145,72,146
1183.034804,sky,5,146,37,147
1190.755391,object,5,147,90,148
1198.391566,object,5,148,107,149
1206.074518,object,5,149,125,150
1213.766456,object,5,150,142,151
1221.531378,object,5,151,160,152
1229.230785,object,5,152,178,153
1236.9531,object,5,153,196,154
1244.547937,object,5,154,214,155
1252.294443,object,5,155,215,156
1259.970746,sky,5,156,20,157
1274.570804,sky,6,157,16,158
1282.169678,object,6,158,207,159
1289.839825,object,6,159,190,160
1297.560572,object,6,160,173,161
1305.13006,object,6,161,156,162
1312.865052,object,6,162,121,163
1320.521934,object,6,163,103,164
1328.22106,object,6,164,87,165
1335.920955,sky,6,165,51,166
1343.574296,object,6,166,68,167
1351.218728,object,6,167,50,168
1359.026977,object,6,168,32,169
1366.704298,object,6,169,11,170
1374.330322,object,6,170,12,171
1382.03211,object,6,171,13,172
1389.696851,object,6,172,31,173
1397.326876,sky,6,173,33,174
1405.026921,object,6,174,49,175
1412.653914,object,6,175,67,176
1420.32506,object,6,176,84,177
1428.020092,object,6,177,102,178
1435.716474,object,6,178,120,179
1443.364306,object,6,179,138,180
1450.985483,object,6,180,155,181
1458.63119,sky,6,181,15,182
1466.346775,object,6,182,172,183
1474.071643,object,6,183,189,184
1481.568469,object,6,184,206,185
1489.410812,object,6,185,223,186
1497.025062,object,6,186,222,187
1504.659763,object,6,187,221,188
1512.298794,sky,6,188,50,189
1527.629621,sky,7,189,22,190
1535.556315,object,7,190,92,191
1543.460867,object,7,191,75,192
1551.291141,object,7,192,58,193
1559.282056,object,7,193,41,194
1567.131571,object,7,194,24,195
1575.186646,object,7,195,9,196
1583.119811,object,7,196,10,197
1598.878838,object,7,197,30,199
1606.818064,object,7,198,48,200
1614.713902,object,7,199,66,201
1622.751481,object,7,200,85,202
1630.595103,object,7,201,101,203
1638.541945,object,7,202,82,204
1646.400858,object,7,203,65,205
1654.236159,sky,7,204,5,206
1662.22581,object,7,205,47,207
1670.038562,object,7,206,29,208
1677.960995,object,7,207,28,209
1685.928346,object,7,208,27,210
1693.851239,object,7,209,26,211
1701.70272,object,7,210,25,212
1709.579152,sky,7,211,23,213
1717.38105,object,7,212,42,214
1725.317905,object,7,213,59,215
1733.147291,object,7,214,77,216
1741.027465,object,7,215,93,217
1748.961076,object,7,216,110,218
1756.869943,object,7,217,111,219
1764.680644,sky,7,218,6,220
1779.517751,sky,8,219,48,221
1787.63163,object,8,220,100,222
1795.758226,object,8,221,83,223
1803.699914,object,8,222,64,224
1811.814569,object,8,223,46,225
1819.924881,object,8,224,45,226
1827.968113,object,8,225,44,227
1836.002161,sky,8,226,30,228
1844.013551,object,8,227,43,229
1852.048014,object,8,228,60,230
1860.120029,object,8,229,76,231
1868.185287,object,8,230,94,232
1876.245717,object,8,231,112,233
1884.240841,object,8,232,95,234
1892.359623,object,8,233,79,235
1900.361449,sky,8,234,47,236
1908.392375,object,8,235,61,237
1916.417574,object,8,236,62,238
1924.411571,object,8,237,63,239
1932.419497,object,8,238,80,240
1940.439332,object,8,239,99,241
1948.469959,object,8,240,81,242
1956.447526,sky,8,241,46,243
1964.423472,object,8,242,78,244
1972.457157,object,8,243,96,245
1980.498742,object,8,244,113,246
1988.484782,object,8,245,114,247
1996.389387,object,8,246,97,248
2004.407045,object,8,247,98,249
2012.469361,sky,8,248,45,250
