line,position,TYPE,VBLK,VBLK#,SLIT_ID,fiberidx,SLIT_orig,fiberid,SKY#,dx,dy
1,14.72703736,sky,1,1,1.0,44.0,1.0,,1.0,,
2,22.78607757,object,1,2,2.0,131.0,2.0,131.0,,-2.0,2.0
3,30.75940161,object,1,3,3.0,132.0,3.0,132.0,,0.0,2.0
4,38.74844715,object,1,4,4.0,115.0,4.0,115.0,,1.0,0.0
5,46.81480697,object,1,5,5.0,116.0,5.0,116.0,,3.0,0.0
6,54.67755143,object,1,6,6.0,133.0,6.0,133.0,,2.0,2.0
7,62.68113374,object,1,7,7.0,150.0,7.0,150.0,,1.0,4.0
8,70.70738544,sky,1,8,8.0,43.0,8.0,,2.0,,
9,78.69480082,object,1,9,9.0,149.0,9.0,149.0,,-1.0,4.0
10,86.93954422,object,1,10,10.0,130.0,10.0,130.0,,-4.0,2.0
11,94.65095154,object,1,11,11.0,148.0,11.0,148.0,,-3.0,4.0
12,102.849679,object,1,12,12.0,166.0,12.0,166.0,,-2.0,6.0
13,110.9497711,object,1,13,13.0,167.0,13.0,167.0,,0.0,6.0
14,118.8504356,object,1,14,14.0,168.0,14.0,168.0,,2.0,6.0
15,126.9620658,sky,1,15,15.0,42.0,15.0,,3.0,,
16,135.0418647,object,1,16,16.0,151.0,16.0,151.0,,3.0,4.0
17,143.0048003,object,1,17,17.0,134.0,17.0,134.0,,4.0,2.0
18,151.0987574,object,1,18,18.0,117.0,18.0,117.0,,5.0,0.0
19,159.085161,object,1,19,19.0,135.0,19.0,135.0,,6.0,2.0
20,167.0329857,object,1,20,20.0,152.0,20.0,152.0,,5.0,4.0
21,175.1972769,object,1,21,21.0,169.0,21.0,169.0,,4.0,6.0
22,183.1381531,object,1,22,22.0,186.0,22.0,186.0,,3.0,8.0
23,191.1632152,sky,1,23,23.0,24.0,23.0,,4.0,,
24,199.2249706,object,1,24,24.0,185.0,24.0,185.0,,1.0,8.0
25,207.3806053,object,1,25,25.0,184.0,25.0,184.0,,-1.0,8.0
26,215.5015199,object,1,26,26.0,183.0,26.0,183.0,,-3.0,8.0
27,223.4219252,object,1,27,27.0,165.0,27.0,165.0,,-4.0,6.0
28,231.6203105,object,1,28,28.0,147.0,28.0,147.0,,-5.0,4.0
29,239.7561819,object,1,29,29.0,129.0,29.0,129.0,,-6.0,2.0
30,248.0,sky,1,30,30.0,,,,5.0,,
31,262.4931694,sky,2,1,30.0,13.0,31.0,,6.0,,
32,270.3557008,object,2,2,31.0,118.0,32.0,118.0,,7.0,0.0
33,278.2255909,object,2,3,32.0,119.0,33.0,119.0,,9.0,0.0
34,286.1650158,object,2,4,33.0,136.0,34.0,136.0,,8.0,2.0
35,293.9850875,object,2,5,34.0,153.0,35.0,153.0,,7.0,4.0
36,301.8862943,object,2,6,35.0,170.0,36.0,170.0,,6.0,6.0
37,309.7812736,object,2,7,36.0,187.0,37.0,187.0,,5.0,8.0
38,317.6865812,sky,2,8,37.0,31.0,38.0,,7.0,,
39,325.4466259,object,2,9,38.0,204.0,39.0,204.0,,4.0,10.0
40,333.3095672,object,2,10,39.0,203.0,40.0,203.0,,2.0,10.0
41,341.2630037,object,2,11,40.0,202.0,41.0,202.0,,0.0,10.0
42,349.3080512,object,2,12,41.0,201.0,42.0,201.0,,-2.0,10.0
43,357.1346447,object,2,13,42.0,200.0,43.0,200.0,,-4.0,10.0
44,364.968447,object,2,14,43.0,182.0,44.0,182.0,,-5.0,8.0
45,372.6756041,object,2,15,44.0,164.0,45.0,164.0,,-6.0,6.0
46,380.6813633,sky,2,16,45.0,14.0,46.0,,8.0,,
47,388.7456643,object,2,17,46.0,146.0,47.0,146.0,,-7.0,4.0
48,396.635951,object,2,18,47.0,128.0,48.0,128.0,,-8.0,2.0
49,404.5766551,object,2,19,48.0,145.0,49.0,145.0,,-9.0,4.0
50,412.4144559,object,2,20,49.0,163.0,50.0,163.0,,-8.0,6.0
51,420.4622497,object,2,21,50.0,181.0,51.0,181.0,,-7.0,8.0
52,428.2627631,object,2,22,51.0,199.0,52.0,199.0,,-6.0,10.0
53,436.1963561,object,2,23,52.0,219.0,53.0,219.0,,-1.0,12.0
54,444.0496266,sky,2,24,53.0,49.0,54.0,,9.0,,
55,452.1079716,object,2,25,54.0,220.0,55.0,220.0,,1.0,12.0
56,459.9977862,object,2,26,55.0,205.0,56.0,205.0,,6.0,10.0
57,467.8913964,object,2,27,56.0,188.0,57.0,188.0,,7.0,8.0
58,475.8700419,object,2,28,57.0,171.0,58.0,171.0,,8.0,6.0
59,483.756828,object,2,29,58.0,154.0,59.0,154.0,,9.0,4.0
60,491.7082182,object,2,30,59.0,137.0,60.0,137.0,,10.0,2.0
61,499.5871301,sky,2,31,60.0,32.0,61.0,,10.0,,
62,513.2732197,sky,3,1,61.0,39.0,62.0,,11.0,,
63,521.0197586,object,3,2,62.0,8.0,63.0,8.0,,-3.0,-12.0
