#λvac λair
wavelength_vac,wavelength
9975.083,9972.349
10002.737,9999.996
10014.086,10011.341
10015.555,10012.810
10016.731,10013.986
10024.084,10021.337
10028.200,10025.452
10046.266,10043.513
10061.781,10059.024
10063.472,10060.714
10069.986,10067.226
10073.640,10070.879
10085.231,10082.467
10106.374,10103.604
10126.784,10124.009
10135.225,10132.448
10135.424,10132.647
10146.587,10143.807
10148.995,10146.214
10151.784,10149.002
10155.610,10152.827
10155.755,10152.972
10161.266,10158.482
10167.160,10164.374
10174.488,10171.700
10174.898,10172.110
10183.825,10181.034
10192.499,10189.706
10205.844,10203.047
10211.576,10208.778
10213.851,10211.052
10211.576,10208.778
10228.586,10225.783
10233.464,10230.660
10273.897,10271.082
10287.588,10284.769
10289.457,10286.638
10295.345,10292.524
10298.845,10296.023
10308.075,10305.251
10312.344,10309.519
10330.129,10327.299
10342.865,10340.031
10350.127,10347.291
10356.827,10353.990
10375.720,10372.877
10399.386,10396.537
10421.218,10418.363
10430.798,10427.941
10432.012,10429.154
10453.365,10450.501
10471.830,10468.961
10512.011,10509.132
10527.657,10524.773
10575.401,10572.504
10588.762,10585.862
10643.675,10640.760
10654.707,10651.789
10655.706,10652.788
10686.683,10683.756
10689.208,10686.280
10690.996,10688.068
10695.088,10692.159
10700.044,10697.114
10706.408,10703.476
10713.680,10710.746
10723.350,10720.413
10731.714,10728.775
10746.152,10743.209
10753.920,10750.975
10775.059,10772.108
10832.257,10829.291
10834.289,10831.322
10844.693,10841.723
10859.628,10856.654
10879.288,10876.309
10898.680,10895.696
10926.430,10923.438
10951.348,10948.349
10975.330,10972.325
11009.293,11006.279
11029.814,11026.794
11072.457,11069.426
11090.019,11086.983
11140.911,11137.861
11156.034,11152.980
11214.803,11211.733
11288.192,11285.102
11291.166,11288.075
11295.553,11292.461
11299.440,11296.347
11306.335,11303.240
11312.851,11309.754
11323.366,11320.266
11331.193,11328.091
11346.885,11343.779
11354.235,11351.127
11377.135,11374.021
11437.764,11434.633
11439.940,11436.809
11447.236,11444.103
11451.604,11448.470
11462.828,11459.691
11468.326,11465.187
11490.320,11487.175
11508.616,11505.466
11538.791,11535.633
11565.249,11562.084
11591.684,11588.512
11627.846,11624.664
11650.746,11647.558
11696.348,11693.147
11716.151,11712.945
11770.827,11767.606
11788.029,11784.803
11851.443,11848.200
11865.919,11862.672
11867.087,11863.840
11938.401,11935.135
11950.998,11947.728
11952.418,11949.148
11967.921,11964.647
11968.827,11965.552
11973.556,11970.280
11975.834,11972.557
11983.323,11980.044
11988.647,11985.367
12000.141,11996.858
12007.078,12003.793
12024.245,12020.955
12030.885,12027.593
12055.878,12052.580
12120.386,12117.070
12122.640,12119.324
12131.067,12127.748
12135.922,12132.602
12148.675,12145.351
12154.935,12151.610
12179.922,12176.590
12196.386,12193.050
12211.090,12207.750
12229.294,12225.949
12257.729,12254.376
12286.988,12283.627
12325.913,12322.541
12351.597,12348.218
12400.878,12397.486
12423.347,12419.949
12482.707,12479.293
12501.915,12498.496
12502.919,12499.499
12571.579,12568.141
12588.345,12584.902
12589.613,12586.170
12667.734,12664.270
12682.442,12678.974
12683.997,12680.528
12747.959,12744.473
12750.125,12746.638
12752.797,12749.309
12752.995,12749.507
12760.993,12757.503
12764.418,12760.927
12777.099,12773.605
12782.567,12779.071
12801.543,12798.042
12806.983,12803.481
12834.564,12831.054
12903.532,12900.004
12905.711,12902.182
12915.799,12912.267
12921.132,12917.599
12936.059,12932.522
12943.176,12939.637
12964.144,12960.599
12972.127,12968.580
12985.646,12982.095
13008.234,13004.677
13021.635,13018.074
13052.740,13049.171
13085.264,13081.686
13127.822,13124.233
13156.793,13153.196
13210.848,13207.236
13236.516,13232.897
13301.917,13298.280
13324.135,13320.492
13325.231,13321.588
13401.246,13397.582
13420.836,13417.167
13422.235,13418.566
13509.129,13505.436
13526.471,13522.773
13528.201,13524.503
13664.103,13660.368
13665.451,13661.716
13669.548,13665.811
13671.122,13667.385
13673.989,13670.251
13674.536,13670.798
13674.888,13671.150
13689.089,13685.347
13985.895,13982.072
14022.226,14018.394
14086.711,14082.861
14102.697,14098.843
14107.007,14103.152
14134.002,14130.139
14162.960,14159.089
14163.235,14159.364
14186.056,14182.179
14266.356,14262.457
14292.311,14288.405
14293.537,14289.631
14342.005,14338.086
14344.442,14340.522
14352.271,14348.349
14356.719,14352.796
14369.082,14365.155
14374.413,14370.485
14392.188,14388.255
14397.753,14393.819
14402.592,14398.656
14404.172,14400.236
14426.904,14422.962
14469.109,14465.155
14502.862,14498.899
14518.961,14514.994
14523.581,14519.612
14525.550,14521.581
14563.982,14560.002
14604.833,14600.842
14665.068,14661.061
14698.437,14694.421
14702.241,14698.224
14713.306,14709.286
14740.015,14735.988
14755.589,14751.557
14772.383,14768.347
14783.736,14779.697
14799.240,14795.196
14800.423,14796.379
14805.789,14801.744
14833.093,14829.040
14864.397,14860.336
14886.165,14882.098
14887.699,14883.631
14908.278,14904.205
14909.776,14905.702
14931.883,14927.803
15006.737,15002.637
15025.143,15021.038
15026.969,15022.864
15052.866,15048.753
15055.550,15051.437
15063.998,15059.882
15068.968,15064.851
15082.254,15078.133
15088.276,15084.154
15107.382,15103.255
15113.725,15109.596
15187.140,15182.991
15240.954,15236.790
15287.789,15283.613
15332.402,15328.213
15395.334,15391.128
15430.163,15425.948
15432.156,15427.940
15462.125,15457.901
15474.212,15469.985
15500.864,15496.630
15509.769,15505.532
15517.872,15513.633
15539.711,15535.466
15540.945,15536.700
15546.141,15541.894
15570.159,15565.906
15597.631,15593.370
15631.443,15627.173
15654.953,15650.677
15656.178,15651.901
15657.749,15653.472
15702.539,15698.250
15759.826,15755.521
15760.830,15756.525
15781.163,15776.852
15783.090,15778.779
15830.335,15826.011
15833.272,15828.947
15842.503,15838.176
15848.061,15843.732
15862.489,15858.156
15869.307,15864.973
15890.033,15885.693
15897.211,15892.869
15932.210,15927.858
15972.596,15968.233
16030.831,16026.453
16079.753,16075.361
16128.608,16124.203
16194.615,16190.192
16235.376,16230.942
16270.318,16265.874
16279.727,16275.281
16302.278,16297.826
16315.515,16311.059
16317.161,16312.705
16341.755,16337.292
16350.650,16346.185
16351.954,16347.488
16360.385,16355.917
16388.492,16384.016
16414.737,16410.254
16442.155,16437.665
16447.616,16443.124
16475.648,16471.149
16477.318,16472.818
16479.061,16474.561
16502.365,16497.858
16553.814,16549.293
16586.322,16581.793
16609.994,16605.458
16612.053,16607.517
16689.201,16684.644
16692.380,16687.822
16702.639,16698.078
16708.852,16704.289
16724.739,16720.172
16732.479,16727.910
16733.659,16729.089
16755.155,16750.580
16763.572,16758.994
16802.368,16797.780
16840.481,16835.882
16903.679,16899.063
16955.078,16950.448
17008.757,17004.113
17078.369,17073.706
17123.659,17118.983
17188.964,17184.271
17196.243,17191.548
17210.319,17205.620
17243.039,17238.331
17247.926,17243.217
17249.320,17244.610
17257.606,17252.894
17282.868,17278.149
17303.370,17298.646
17330.869,17326.137
17351.152,17346.415
17359.686,17354.946
17382.906,17378.160
17384.705,17379.958
17386.695,17381.948
17427.045,17422.287
17449.967,17445.203
17501.228,17496.450
17505.897,17501.117
17528.254,17523.468
17530.475,17525.689
17649.853,17645.034
17653.222,17648.402
17660.234,17655.412
17661.695,17656.873
17664.881,17660.058
17671.812,17666.987
17684.160,17679.332
17686.826,17681.997
17689.636,17684.806
17698.442,17693.610
17723.860,17719.021
17733.455,17728.614
17777.130,17772.277
17811.475,17806.612
17829.704,17824.836
17850.875,17846.002
17854.008,17849.134
17880.298,17875.417
17934.744,17929.848
17993.962,17989.050
18067.934,18063.002
18117.965,18113.019
18119.023,18114.077
18211.014,18206.043
18253.479,18248.496
18254.949,18249.966
18459.584,18454.545
18587.329,18582.255
18796.411,18791.280
18886.545,18881.390
19193.537,19188.298
19249.748,19244.494
19250.865,19245.611
19350.119,19344.838
19398.393,19393.099
19399.959,19394.664
19518.439,19513.112
19528.615,19523.285
19541.091,19535.758
19555.347,19550.010
19560.004,19554.666
19562.061,19556.722
19573.219,19567.877
19593.420,19588.072
19618.723,19613.369
19642.466,19637.105
19677.998,19672.627
19698.937,19693.561
19702.083,19696.706
19734.920,19729.534
19737.500,19732.113
19751.514,19746.123
19771.862,19766.466
19839.728,19834.313
19891.355,19885.926
